物料清单 (BOM)
OpenClaw智能开关 v1.0

序号,类别,名称,型号/规格,数量,单价(RMB),总价(RMB),供应商,备注
1,主控,ESP32模块,ESP32-WROOM-32D 4MB Flash,1,18,18,立创/淘宝,核心主控
2,继电器,功率继电器,SRD-05VDC-SL-C 常闭型 10A,1,4,4,立创,关键：常闭型！
3,光耦,光电耦合器,PC817 4脚直插,1,0.5,0.5,立创,继电器隔离驱动
4,三极管,NPN三极管,S8050 TO-92,1,0.1,0.1,立创,继电器驱动
5,二极管,整流二极管,1N4007 1A 1000V,1,0.05,0.05,立创,续流保护
6,电源,AC-DC模块,HLK-PM01 220V转5V 1A,1,10,10,淘宝,金升阳原厂
7,电容,电解电容,100μF/10V 105℃,1,0.3,0.3,立创,电源滤波
8,电容,陶瓷电容,0.1μF 50V 0805,3,0.05,0.15,立创,去耦电容
9,LED,RGB LED,WS2812B 5050封装,1,0.8,0.8,淘宝,状态指示灯
10,开关,轻触开关,6x6x5mm 四脚直插,1,0.1,0.1,立创,配网按钮
11,端子,接线端子,KF301-2P 5.08mm 绿色,4,0.5,2,立创,L/N/SW/COM接线
12,电阻,碳膜电阻,220Ω 1/4W,1,0.02,0.02,立创,LED限流
13,电阻,碳膜电阻,1KΩ 1/4W,2,0.02,0.04,立创,三极管基极
14,电阻,碳膜电阻,10KΩ 1/4W,2,0.02,0.04,立创,按钮上拉
15,保险,保险丝,250V 1A 5x20mm,1,0.2,0.2,立创,过流保护
16,保险,保险丝座,5x20mm 直插,1,0.3,0.3,立创,配合保险丝
17,压敏,压敏电阻,14D471K 470V,1,0.3,0.3,立创,浪涌保护
18,排母,排母座,2.54mm 19P 直插,1,0.5,0.5,立创,ESP32接口
19,PCB,电路板,86x86mm 双面 FR-4 1.6mm,1,12,12,嘉立创,打样5片起
20,外壳,上盖,PC阻燃 86型,1,4,4,注塑厂,需开模
21,外壳,下盖,PC阻燃 86型,1,4,4,注塑厂,需开模
22,包装,彩盒,90x90x40mm,1,1.5,1.5,印刷厂,
23,包装,说明书,A5折叠,1,0.5,0.5,印刷厂,
24,包装,保修卡,A6,1,0.2,0.2,印刷厂,
25,包装,合格证,50x30mm,1,0.05,0.05,印刷厂,

,,,,,,,,
小计(电子元件),,,,,,36.45,
小计(PCB),,,,,,12,
小计(外壳),,,,,,8,
小计(包装),,,,,,2.25,
总计(单件成本),,,,,,58.7,,

备注：
1. 常闭型继电器是关键！断电时触点闭合，传统开关可正常使用
2. 电源模块建议用金升阳HLK系列，质量稳定
3. ESP32模块可选用ESP32-WROOM-32E（外置天线）或32D（内置天线）
4. 量产1000件以上成本可降至45-50元/件
5. 所有价格仅供参考，以实际采购为准
